# Constructed from biom file
#OTU ID	DZ13-78_S62	DZ13-79_S63	DZ13-81_S64	DZ13-83_S66	DZ14-84_S67	DZ14-85_S68	DZ14-86_S69	DZ14-87_S70	DZ14-88_S71	DZ15-90_S72	DZ15-91_S73	DZ15-94_S74	DZ15-95_S75	DZ15-96_S76	DZ16-100_S79	DZ16-101_S80	DZ16-103_S81	DZ16-98_S77	DZ16-99_S78	DZ17-107_S82	DZ17-108_S83	DZ17-109_S84	DZ17-110_S85	DZ17-111_S86	DZ18-112_S87	DZ18-113_S88	DZ18-114_S89	DZ18-115_S90	DZ18-116_S91	IZ07-35_S31	IZ07-36_S32	IZ07-39_S33	IZ07-40_S34	IZ07-41_S35	IZ08-42_S36	IZ08-43_S37	IZ08-46_S38	IZ09-49_S41	IZ09-52_S43	IZ09-55_S45	IZ10-57_S46	IZ10-58_S47	IZ10-59_S48	IZ10-60_S49	IZ10-62_S50	IZ11-63_S51	IZ11-65_S53	IZ11-66_S54	IZ11-67_S55	IZ12-70_S56	IZ12-71_S57	IZ12-72_S58	IZ12-76_S61	WT01-01_S1	WT01-02_S2	WT01-03_S3	WT01-04_S4	WT01-05_S5	WT02-06_S6	WT02-07_S7	WT02-08_S8	WT02-09_S9	WT02-10_S10	WT03-11_S11	WT03-12_S12	WT03-13_S13	WT03-14_S14	WT03-15_S15	WT04-17_S17	WT04-18_S18	WT04-19_S19	WT04-20_S20	WT05-21_S21	WT05-22_S22	WT05-23_S23	WT05-24_S24	WT05-27_S25	WT06-28_S26	WT06-29_S27	WT06-30_S28	WT06-32_S29	WT06-34_S30
83a3d0b729577b3ef43cb9906801a5b4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	19.0	27.0	1756.0	0.0	20.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	29.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	13482.0	2455.0	1124.0	1745.0	3788.0	0.0	0.0	0.0	3639.0	0.0	0.0	0.0	0.0	705.0	0.0	0.0	0.0	0.0	0.0
a0d03ba5342c2c82ac244c0c5ef28b92	693.0	443.0	785.0	18.0	226.0	0.0	0.0	0.0	0.0	145.0	691.0	1328.0	826.0	1527.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	91.0	7762.0	688.0	342.0	1140.0	0.0	0.0	0.0	0.0	6.0	0.0	18.0	44.0	141.0	639.0	713.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	360.0	817.0	0.0	93.0	0.0	59.0	0.0	0.0	804.0	44.0	1679.0	60.0	228.0	0.0	0.0	166.0	0.0	123.0	408.0	34.0	58.0	10.0	13.0	0.0	0.0	0.0	0.0	15.0	27.0	70.0	659.0	36.0	25.0	737.0	1053.0	714.0	151.0	78.0
51521b7c26313e7b8b723e84094d17ed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	82.0	27.0	0.0	86.0	26148.0	0.0	0.0	0.0	0.0	0.0
895f8e0a71532ff57351f87d61b85b43	0.0	0.0	0.0	382.0	0.0	0.0	0.0	0.0	1767.0	0.0	13.0	45.0	0.0	442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1114.0	77.0	112.0	0.0	1274.0	0.0	0.0	0.0	0.0	850.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	792.0	81.0	0.0	0.0	72.0	444.0	0.0	0.0	0.0	0.0	0.0	6815.0	470.0	549.0	374.0	679.0	0.0	0.0	0.0	256.0	0.0	0.0	6.0	0.0	7651.0	0.0	0.0	0.0	9.0	0.0
3101e8362be550589f5a9a8df064721f	9.0	23.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	54.0	9.0	0.0	26.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	13.0	24.0	0.0	0.0	0.0	126.0	0.0	24.0	11.0	16.0	410.0	1785.0	142.0	26.0	309.0	197.0	10.0	0.0	0.0	0.0	29.0	360.0	241.0	0.0	0.0	156.0	230.0	295.0	0.0	96.0	5.0	113.0	493.0	16.0	0.0	433.0	6.0	0.0	0.0	52.0	0.0	38.0	0.0	0.0	100.0	651.0	0.0	0.0	0.0	240.0	1145.0	5.0	17.0	142.0	14897.0	0.0	690.0	8.0
c5c200356c53f3783d634aa0406cf3e9	0.0	0.0	0.0	0.0	37.0	0.0	21.0	0.0	1608.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	1187.0	0.0	13.0	60.0	0.0	7.0	303.0	0.0	0.0	144.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.0	33.0	0.0	10.0	32.0	1620.0	17.0	0.0	0.0	6.0	0.0	4099.0	1216.0	2889.0	560.0	641.0	0.0	0.0	0.0	1701.0	25.0	7.0	5.0	0.0	4141.0	8.0	0.0	96.0	0.0	9.0
1a295a0c5ff32e881203429e3fcdbafc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	201.0	0.0	55.0	304.0	124.0	1094.0	6701.0	291.0	35.0	11279.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	31.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
78a26114d795d6576d5ff46e3ffb0993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	32.0	0.0	0.0	0.0	90.0	93.0	42.0	2729.0	12.0	12.0	0.0	0.0	12.0	12712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	8.0	8.0	0.0	0.0	2165.0	1008.0	319.0	236.0	0.0	0.0	0.0	56.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a7b3d334f734a4e4b7fe1ed229513bf2	786.0	0.0	25.0	76.0	156.0	0.0	43.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1850.0	445.0	675.0	211.0	10.0	181.0	0.0	0.0	0.0	16.0	38.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	27.0	70.0	431.0	735.0	151.0	2390.0	1547.0	3577.0	4037.0	0.0	22.0	0.0	12.0	22.0	0.0	579.0	110.0	69.0	0.0	60.0	0.0	0.0	22.0	14.0	95.0	151.0	130.0	163.0	264.0
935640a7cff68116573a58f74fd51fe5	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	54.0	25.0	0.0	0.0	1181.0	0.0	0.0	380.0	0.0	0.0	610.0	68.0	77.0	180.0	90.0	1298.0	3266.0	5898.0	402.0	4847.0	0.0	22.0	0.0	32.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
